Case Number Tax,Sale Date,Add Date,Status,Final Judgment,Opening Bid,Assessed Value,Folio
2020A01372,04/22/2021,02/05/2021,Accepting Proxy,0,4404.83,27196.0,622290780070
2020A01240,04/22/2021,02/05/2021,Accepting Proxy,0,15081.37,,3030350140280
2020A01350,04/22/2021,02/05/2021,Accepting Proxy,0,140616.33,,3059340200060
2020A01245,04/22/2021,02/05/2021,Accepting Proxy,0,88300.91,,3040100150510
2020A01374,04/22/2021,02/05/2021,Accepting Proxy,0,113419.01,,232330470820
2020A01375,04/22/2021,02/05/2021,Accepting Proxy,0,139682.68,,141390822280
2020A01318,04/22/2021,02/08/2021,Accepting Proxy,0,38708.42,632940.0,2442320220310
2020A01320,04/22/2021,02/08/2021,Accepting Proxy,0,10540.01,133100.0,3020110831380
2020A01246,04/22/2021,02/08/2021,Accepting Proxy,0,5133.36,47410.0,3421050162580
2020A01352,04/22/2021,02/08/2021,Accepting Proxy,0,25658.7,338962.0,431080072900
2020A01248,04/22/2021,02/08/2021,Accepting Proxy,0,13224.06,171150.0,3660160190350
2020A01354,04/22/2021,02/08/2021,Accepting Proxy,0,11633.2,132600.0,2822100143210
2020A01355,04/22/2021,02/08/2021,Accepting Proxy,0,10349.86,106076.0,2730030103380
2020A01356,04/22/2021,02/09/2021,Accepting Proxy,0,42475.4,73364.0,3031150000070
2020A01321,04/22/2021,02/09/2021,Accepting Proxy,0,16117.37,332501.0,3050290410170
2020A01357,04/22/2021,02/09/2021,Canceled,0,19717.32,220000.0,3050030470550
2020A01322,04/22/2021,02/09/2021,Accepting Proxy,0,50310.63,516425.0,3122020080170
2020A01358,04/22/2021,02/09/2021,Accepting Proxy,0,135439.91,233994.0,3350340090120
2020A01353,04/22/2021,02/09/2021,Accepting Proxy,0,28132.58,127966.0,1540120161150
2020A01377,04/22/2021,02/09/2021,Accepting Proxy,0,11613.09,149100.0,3040040963860
2020A01323,04/22/2021,02/09/2021,Accepting Proxy,0,53824.54,90422.0,3411330200300
2020A01379,04/22/2021,02/09/2021,Accepting Proxy,0,29997.8,327690.0,1222260461000
2020A01380,04/22/2021,02/09/2021,Accepting Proxy,0,17752.17,207200.0,2822020291980
2020A01382,04/22/2021,02/09/2021,Accepting Proxy,0,38663.78,359400.0,2822100701740
2020A01383,04/22/2021,02/09/2021,Accepting Proxy,0,21243.24,243000.0,3122020482340
2020A01324,04/22/2021,02/10/2021,Accepting Proxy,0,38103.66,444228.0,3530190250020
2020A01384,04/22/2021,02/10/2021,Accepting Proxy,0,13058.71,139700.0,3049330220540
2020A01325,04/22/2021,02/10/2021,Accepting Proxy,0,9509.69,223000.0,3530290630060
2019A01185,03/11/2021,02/19/2021,Canceled,0,39916.43,,232330792510
2020A00736,03/11/2021,02/19/2021,Canceled,0,8234.76,317000.0,232330691550
2020A00331,03/11/2021,02/24/2021,Canceled,0,815.53,,3050320000432
2020A01513,05/13/2021,02/24/2021,Accepting Proxy,0,8527.13,86000.0,232110810170
2020A00029,05/13/2021,02/24/2021,Accepting Proxy,0,16163.56,221895.0,3040030060660
2020A01457,05/13/2021,02/25/2021,Accepting Proxy,0,5700.45,38172.0,622290780770
2020A01514,05/13/2021,02/25/2021,Accepting Proxy,0,119506.18,206288.0,3069340040400
2020A00479,05/13/2021,02/25/2021,Accepting Proxy,0,45038.24,35659.0,622290660190
2020A01433,05/13/2021,02/25/2021,Accepting Proxy,0,10758.09,254100.0,3050190016270
2020A01458,05/13/2021,02/25/2021,Accepting Proxy,0,31343.62,340022.0,421320130210
2020A01515,05/13/2021,02/25/2021,Accepting Proxy,0,3506.69,31500.0,3069350000151
2020A01435,05/13/2021,02/25/2021,Accepting Proxy,0,51120.7,230000.0,3059030331770
2020A01517,05/13/2021,02/25/2021,Accepting Proxy,0,10152.11,132100.0,3031090160132
2020A01518,05/13/2021,02/25/2021,Accepting Proxy,0,2656.47,21750.0,3069350000150
2020A01436,05/13/2021,02/25/2021,Accepting Proxy,0,12980.68,54450.0,1079180080860
2020A01437,05/13/2021,02/25/2021,Accepting Proxy,0,1515.12,9293.0,3031210261350
2020A01460,05/13/2021,02/25/2021,Accepting Proxy,0,5616.62,55104.0,3058110001920
2020A01461,05/13/2021,02/25/2021,Accepting Proxy,0,19288.48,209090.0,242031680190
2020A01520,05/13/2021,02/25/2021,Accepting Proxy,0,4136.81,44550.0,131130380120
2020A01462,05/13/2021,02/26/2021,Accepting Proxy,0,6478.98,,3059220160120
2020A01463,05/13/2021,02/26/2021,Accepting Proxy,0,9597.62,,420341210240
2020A01464,05/13/2021,02/26/2021,Accepting Proxy,0,26982.88,,242031551240
2020A01438,05/13/2021,02/26/2021,Accepting Proxy,0,2175.15,,3031210261200
2020A01465,05/13/2021,02/26/2021,Accepting Proxy,0,42034.33,,1079210251500
2020A01466,05/13/2021,02/26/2021,Accepting Proxy,0,8220.11,,722090192100
2020A01439,05/13/2021,02/26/2021,Accepting Proxy,0,1992.59,,3031210100010
2020A01467,05/13/2021,02/26/2021,Accepting Proxy,0,19191.95,,821210024520
2020A00776,05/13/2021,02/26/2021,Accepting Proxy,0,11270.43,,1079290132560
2020A00784,05/13/2021,02/26/2021,Accepting Proxy,0,6381.37,,2730030102590
2020A01503,05/13/2021,02/23/2021,Accepting Proxy,0,28668.88,42497.0,2220300060011
2020A01504,05/13/2021,02/23/2021,Accepting Proxy,0,7781.69,47798.0,131130241540
2020A01505,05/13/2021,02/23/2021,Canceled,0,15551.03,108007.0,131230210020
2016A00480,05/13/2021,02/23/2021,Accepting Proxy,0,40537.14,34920.0,3030520753720
2020A01417,05/13/2021,02/23/2021,Accepting Proxy,0,11038.95,136007.0,3040310190150
2020A01506,05/13/2021,02/23/2021,Accepting Proxy,0,3079.35,25634.0,3049090170830
2018A00858,05/13/2021,02/23/2021,Accepting Proxy,0,3902.89,32635.0,131140410620
2020A01418,05/13/2021,02/24/2021,Accepting Proxy,0,11323.44,125000.0,3122110331520
2020A01419,05/13/2021,02/24/2021,Accepting Proxy,0,39139.05,427673.0,3530190500410
2020A01420,05/13/2021,02/24/2021,Accepting Proxy,0,5109.96,52208.0,3122140450330
2020A01422,05/13/2021,02/24/2021,Accepting Proxy,0,21696.13,220900.0,3530190180820
2020A01510,05/13/2021,02/24/2021,Accepting Proxy,0,9638.49,114000.0,3059090470120
2020A01423,05/13/2021,02/24/2021,Accepting Proxy,0,18555.0,159786.0,622210361010
2020A01424,05/13/2021,02/24/2021,Accepting Proxy,0,6034.57,71039.0,3012310330170
2020A01430,05/13/2021,02/24/2021,Accepting Proxy,0,4069.82,14722.0,131140350850
2020A01512,05/13/2021,02/24/2021,Accepting Proxy,0,1313.43,157823.0,3031110340210
2018A00861,05/13/2021,02/24/2021,Accepting Proxy,0,13223.61,22703.0,131360670410
2020A01431,05/13/2021,02/24/2021,Accepting Proxy,0,15980.26,56980.0,131230140060
2018A00871,05/13/2021,02/24/2021,Accepting Proxy,0,3950.37,33204.0,131120180060
2020A01432,05/13/2021,02/24/2021,Accepting Proxy,0,2197.49,13682.0,3421080190700
2020A01468,05/13/2021,03/01/2021,Accepting Proxy,0,3644.63,37908.0,3022060080100
2020A01474,05/13/2021,03/01/2021,Accepting Proxy,0,6684.06,100896.0,3049331123750
2020A00885,05/13/2021,03/01/2021,Accepting Proxy,0,13545.22,173700.0,2812350111480
2020A01475,05/13/2021,03/01/2021,Accepting Proxy,0,2676.37,19500.0,3069350000071
