Case Number Eviction,Folio,Filing Date
2021-002345-CC-26,3069260330010,29/01/2021
2021-002346-CC-26,3069260330010,29/01/2021
2021-002347-CC-26,3049120620010,29/01/2021
2021-002348-CC-23,3022320070260,29/01/2021
2021-002348-CC-26,3050290140190,29/01/2021
2021-002349-CC-23,622190110670,29/01/2021
2021-002349-CC-26,3060190151130,29/01/2021
2021-002350-CC-26,3049360070020,29/01/2021
2021-002353-CC-23,622210340011,29/01/2021
2021-002357-CC-23,3122110400010,29/01/2021
2021-002380-CC-23,3411330180270,29/01/2021
2021-002428-CC-05,132310655090,29/01/2021
2021-002466-CC-05,102050601041,29/01/2021
2021-002486-CC-05,132310530010,29/01/2021
2021-002487-CC-05,131130100010,29/01/2021
2021-002090-CC-24,232100130320,2021-03-29
2021-002108-CC-24,232342150050,2021-03-29
2021-003098-CC-21,431180140080,2021-03-29
2021-003099-CC-21,431180120330,2021-03-29
2021-003116-CC-21,431180120330,2021-03-29
2021-003117-CC-21,431180120330,2021-03-29
2021-003118-CC-21,431180120330,2021-03-29
2021-003120-CC-21,431200191850,2021-03-29
2021-003657-CC-20,131140350250,2021-03-29
2021-003696-CC-20,131140410490,2021-03-29
2021-003715-CC-20,3031110100330,2021-03-29
2021-006706-CC-26,3079020000020,2021-03-29
2021-006731-CC-26,3060050600040,2021-03-29
2021-006732-CC-26,3069010030033,2021-03-29
2021-006816-CC-26,3050320040340,2021-03-29
2021-006817-CC-26,1079030290980,2021-03-29
2021-006818-CC-26,3059200100640,2021-03-29
2021-006828-CC-26,3079040390010,2021-03-29
2021-006829-CC-26,3059090060012,2021-03-29
2021-006830-CC-26,1079210263090,2021-03-29
2021-006831-CC-26,3060180030770,2021-03-29
2021-006832-CC-26,3079040042970,2021-03-29
2021-006917-CC-26,1079210263790,2021-03-29
2021-008278-CC-23,3122020500350,2021-03-29
2021-008349-CC-23,3021340111321,2021-03-29
2021-009011-CC-05,141380102020,2021-03-29
2021-009012-CC-05,141020065990,2021-03-29
2021-009013-CC-05,3030540940010,2021-03-29
2021-009014-CC-05,3030540940010,2021-03-29
2021-009015-CC-05,2530310520210,2021-03-29
2021-009016-CC-05,141100960010,2021-03-29
2021-009017-CC-05,131370370020,2021-03-29
2021-009018-CC-05,141040160210,2021-03-29
2021-010660-CC-25,3040180001083,2021-03-29
2021-002123-CC-24,232020030090,2021-03-30
2021-003168-CC-21,2230040140010,2021-03-30
2021-006836-CC-26,3049330500430,2021-03-30
2021-006866-CC-26,3059260170140,2021-03-30
2021-006867-CC-26,3049331190010,2021-03-30
2021-008335-CC-23,3411350270010,2021-03-30
2021-008381-CC-23,621250130200,2021-03-30
2021-008427-CC-23,622210230010,2021-03-30
2021-008428-CC-23,622210230010,2021-03-30
2021-008430-CC-23,3411350190090,2021-03-30
2021-008979-CC-05,3049110000010,2021-03-30
2021-008980-CC-05,132310770010,2021-03-30
2021-008982-CC-05,132310770010,2021-03-30
2021-009019-CC-05,102050701060,2021-03-30
2021-009079-CC-05,141090210040,2021-03-30
2021-009083-CC-05,3530270010127,2021-03-30
2021-009084-CC-05,3530270010127,2021-03-30
