Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT30681100002732020A01531,05/13/2021,03/03/2021,2020A01531,Accepting Proxy,0,4967.46,53940,,,HIDDEN,19045 SW 214 ST,MIAMI,33187-4013,30-6811-000-0273,3068110000273
TAXACT34211500337202020A01533,05/13/2021,03/03/2021,2020A01533,Accepting Proxy,0,15151.91,131033,,,HIDDEN,16320 NW 19 CT,MIAMI GARDENS,33054-6671,34-2115-003-3720,3421150033720
TAXACT30790402801102020A01495,05/13/2021,03/03/2021,2020A01495,Accepting Proxy,0,6699.49,80000,,,HIDDEN,15430 SW 284 ST,MIAMI,33033-1317,30-7904-028-0110,3079040280110
TAXACT30312201100102020A01451,05/13/2021,03/03/2021,2020A01451,Accepting Proxy,0,58448.69,74953,,,HIDDEN,2035 NW 43 ST,MIAMI,33142-4712,30-3122-011-0010,3031220110010
TAXACT04311701408402020A01393,05/13/2021,03/03/2021,2020A01393,Accepting Proxy,0,14327.18,,,,HIDDEN,,,,04-3117-014-0840,0431170140840
TAXACT30591302602502020A01395,05/13/2021,03/03/2021,2020A01395,Accepting Proxy,0,218396.63,366596,,,HIDDEN,12312 SW 122 CT,MIAMI,33186-9027,30-5913-026-0250,3059130260250
TAXACT02420321300902020A01396,05/13/2021,03/03/2021,2020A01396,Accepting Proxy,0,14337.15,336600,,,HIDDEN,530 OCEAN DR,MIAMI BEACH,33139-6616,02-4203-213-0090,0242032130090
TAXACT25400608318602020A01496,05/13/2021,03/03/2021,2020A01496,Accepting Proxy,0,9991.97,99821,,,HIDDEN,660 NW 114 AVE,SWEETWATER,33172-4710,25-4006-083-1860,2540060831860
TAXACT06222005520802020A01405,05/13/2021,03/03/2021,2020A01405,Accepting Proxy,0,9048.26,80080,,,HIDDEN,13499 BISCAYNE BLVD,NORTH MIAMI,33181-2043,06-2220-055-2080,0622200552080
TAXACT04213201302202020A01498,05/13/2021,03/03/2021,2020A01498,Accepting Proxy,0,11575.49,130602,,,HIDDEN,VACANT LOT,HIALEAH,33013-1744,04-2132-013-0220,0421320130220
TAXACT30302304700202020A01534,05/13/2021,03/03/2021,2020A01534,Accepting Proxy,0,22329.5,294559,,,HIDDEN,6903 NW 43 ST,MIAMI,33166-6844,30-3023-047-0020,3030230470020
TAXACT02323403600602020A01407,05/13/2021,03/03/2021,2020A01407,Accepting Proxy,0,6531.77,116000,,,HIDDEN,1525 MERIDIAN AVE,MIAMI BEACH,33139-3485,02-3234-036-0060,0232340360060
TAXACT02322702601202020A01501,05/13/2021,03/03/2021,2020A01501,Accepting Proxy,0,11604.04,116000,,,HIDDEN,255 W 24 ST,MIAMI BEACH,33140-4609,02-3227-026-0120,0232270260120
TAXACT01412100109552020A01535,05/13/2021,03/03/2021,2020A01535,Accepting Proxy,0,33179.5,1167281,,,HIDDEN,3118 ELIZABETH ST,MIAMI,33133-0000,01-4121-001-0955,0141210010955
TAXACT30123100800902020A01409,05/13/2021,03/03/2021,2020A01409,Accepting Proxy,0,15813.63,171820,,,HIDDEN,270 NE 200 TER,MIAMI,33179-2947,30-1231-008-0090,3012310080090
TAXACT08212200514902020A01502,05/13/2021,03/03/2021,2020A01502,Accepting Proxy,0,11217.36,74080,,,HIDDEN,14165 NW 22 CT,OPA-LOCKA,33054-3716,08-2122-005-1490,0821220051490
TAXACT06222907808302020A01537,05/13/2021,03/03/2021,2020A01537,Accepting Proxy,0,5386.03,42050,,,HIDDEN,12500 NE 15 AVE,NORTH MIAMI,33161-6017,06-2229-078-0830,0622290780830
TAXACT01311302306602020A01452,05/13/2021,03/04/2021,2020A01452,Accepting Proxy,0,5166.36,118851,,,HIDDEN,7018 NW 4 AVE,MIAMI,33150-3935,01-3113-023-0660,0131130230660
TAXACT30590500710502020A01538,05/13/2021,03/04/2021,2020A01538,Accepting Proxy,0,106396.43,182750,,,HIDDEN,16338 SW 94 ST,MIAMI,33196-1054,30-5905-007-1050,3059050071050
TAXACT30491204126302020A01539,05/13/2021,03/04/2021,2020A01539,Canceled,0,7898.84,96333,,,HIDDEN,11780 SW 18 ST,MIAMI,33175-1605,30-4912-041-2630,3049120412630
TAXACT16782401802412020A01453,05/13/2021,03/04/2021,2020A01453,Accepting Proxy,0,7701.05,61088,,,HIDDEN,337 NW REDLAND RD,FLORIDA CITY,33034-3144,16-7824-018-0241,1678240180241
TAXACT30582800013002020A01483,05/13/2021,03/04/2021,2020A01483,Accepting Proxy,0,3667.13,36775,,,HIDDEN,15820 SW 208 AVE,MIAMI,33187-0000,30-5828-000-1300,3058280001300
TAXACT30220604102202020A01410,05/13/2021,03/04/2021,2020A01410,Accepting Proxy,0,3321.64,66800,,,HIDDEN,671 NE 195 ST,MIAMI,33179-3340,30-2206-041-0220,3022060410220
TAXACT01311404104102020A01454,05/13/2021,03/04/2021,2020A01454,Accepting Proxy,0,8309.02,75625,,,HIDDEN,VACANT LOT,MIAMI,33142-3858,01-3114-041-0410,0131140410410
TAXACT31220203409402020A01541,05/13/2021,03/04/2021,2020A01541,Accepting Proxy,0,8570.59,93600,,,HIDDEN,19201 COLLINS AVE,SUNNY ISLES BEACH,33160-2202,31-2202-034-0940,3122020340940
TAXACT28220307414902020A01455,05/13/2021,03/04/2021,2020A01455,Accepting Proxy,0,19068.22,214700,,,HIDDEN,18800 NE 29 AVE,AVENTURA,33180-2822,28-2203-074-1490,2822030741490
TAXACT30401300621212020A01411,05/13/2021,03/04/2021,2020A01411,Accepting Proxy,0,12484.34,285497,,,HIDDEN,2845 SW 67 AVE,MIAMI,33155-3901,30-4013-006-2121,3040130062121
TAXACT30305312406002020A01412,05/13/2021,03/04/2021,2020A01412,Accepting Proxy,0,11267.84,135433,,,HIDDEN,8517 NW 7 ST,MIAMI,33126-6839,30-3053-124-0600,3030531240600
TAXACT30400408316302020A01543,05/13/2021,03/04/2021,2020A01543,Canceled,0,8572.93,104272,,,HIDDEN,8850 FONTAINEBLEAU BLVD,MIAMI,33172-4403,30-4004-083-1630,3040040831630
TAXACT01413912502802021A00020,05/13/2021,03/05/2021,2021A00020,Accepting Proxy,0,24374.16,224501,,,HIDDEN,1300 BRICKELL BAY DR,MIAMI,33131-3301,01-4139-125-0280,0141391250280
TAXACT30310400801502020A01471,05/13/2021,03/05/2021,2020A01471,Accepting Proxy,0,15029.02,128104,,,HIDDEN,2919 NW 92 ST,MIAMI,33147-3423,30-3104-008-0150,3031040080150
