Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT06222907102102021A00075,05/20/2021,03/23/2021,2021A00075,Accepting Proxy,0,2758.91,34100,,,HIDDEN,1810 VENICE PARK DR,NORTH MIAMI,33181-1922,06-2229-071-0210,0622290710210
TAXACT01311400003502021A00048,05/20/2021,03/23/2021,2021A00048,Accepting Proxy,0,1832.02,48148,,,HIDDEN,VACANT LOT,MIAMI,33127-1817,01-3114-000-0350,0131140000350
TAXACT04301201012202021A00049,05/20/2021,03/23/2021,2021A00049,Canceled,0,11623.19,127638,,,HIDDEN,VACANT LOT,HIALEAH,33010-1428,04-3012-010-1220,0430120101220
TAXACT34211500800802020A01007,05/20/2021,03/23/2021,2020A01007,Accepting Proxy,0,9739.83,80396,,,HIDDEN,2265 NW 155 ST,MIAMI GARDENS,33054-2748,34-2115-008-0080,3421150080080
TAXACT02420328607302021A00021,05/20/2021,03/23/2021,2021A00021,Accepting Proxy,0,78346.24,1523000,,,HIDDEN,450 ALTON RD,MIAMI BEACH,33139-6713,02-4203-286-0730,0242032860730
TAXACT01313501912102021A00050,05/20/2021,03/23/2021,2021A00050,Accepting Proxy,0,8358.99,69877,,,HIDDEN,VACANT LOT,MIAMI,33136-2348,01-3135-019-1210,0131350191210
TAXACT02420325802402021A00022,05/20/2021,03/23/2021,2021A00022,Accepting Proxy,0,42950.28,430000,,,HIDDEN,865 COLLINS AVE,MIAMI BEACH,33139-5820,02-4203-258-0240,0242032580240
TAXACT01321802601502021A00051,05/20/2021,03/23/2021,2021A00051,Accepting Proxy,0,10178.65,31411,,,HIDDEN,VACANT LOT,MIAMI,33138-6127,01-3218-026-0150,0132180260150
TAXACT01311305202802021A00076,05/20/2021,03/24/2021,2021A00076,Accepting Proxy,0,2537.69,15122,,,HIDDEN,VACANT LOT,MIAMI,33127-1233,01-3113-052-0280,0131130520280
TAXACT31220203411502021A00023,05/20/2021,03/24/2021,2021A00023,Accepting Proxy,0,11156.5,120960,,,HIDDEN,19201 COLLINS AVE,SUNNY ISLES BEACH,33160-2202,31-2202-034-1150,3122020341150
TAXACT32202301501702021A00024,05/20/2021,03/24/2021,2021A00024,Accepting Proxy,0,13753.63,132920,,,HIDDEN,15006 COCONUT AVE,MIAMI LAKES,33014-2531,32-2023-015-0170,3220230150170
TAXACT01313405802602020A01171,05/20/2021,03/24/2021,2020A01171,Accepting Proxy,0,23370.12,299987,,,HIDDEN,1120 NW 24 CT,MIAMI,33125-3102,01-3134-058-0260,0131340580260
TAXACT01312301302302021A00077,05/20/2021,03/24/2021,2021A00077,Accepting Proxy,0,10576.01,70348,,,HIDDEN,VACANT LOT,MIAMI,33142-3852,01-3123-013-0230,0131230130230
TAXACT04203412200302020A01236,05/20/2021,03/24/2021,2020A01236,Accepting Proxy,0,8343.32,167000,,,HIDDEN,6150 W 24 CT,HIALEAH,33016-4355,04-2034-122-0030,0420341220030
